ISO	Country	Year	GPI	offrel	formrelat	GNI	dogint	groupvalue	GPIlog	offrellog	dogintlog	GNIlog
"DZA"	"Algeria"	2008.0	2.29	1.0	10.0	1.46377600561396E11	7.0	2.0	0.828551817566148	0.0	1.94591014905531	25.7094554251379
"ARG"	"Argentina"	2008.0	1.77	0.0	9.0	3.0735673951693E11	10.0	1.0	0.570979546585738	1.0	2.30258509299405	26.4512749278837
"AZE"	"Azerbaijan"	2008.0	2.29	0.0	3.0	3.41345186214846E10	9.0	1.0	0.828551817566148	1.0	2.19722457733622	24.2535749855196
"BHR"	"Bahrain"	2008.0	1.8	1.0	11.0	2.32501330287215E10	7.0	4.0	0.587786664902119	0.0	1.94591014905531	23.8695766906289
"BLR"	"Belarus"	2008.0	2.06	0.0	8.0	5.20954249491E10	9.0	1.0	0.72270598280149	1.0	2.19722457733622	24.6763429689728
"BRA"	"Brazil"	2008.0	2.1	0.0	5.0	1.42734064067963E12	10.0	2.0	0.741937344729377	1.0	2.30258509299405	27.9868341369942
"BGR"	"Bulgaria"	2008.0	1.72	0.0	9.0	4.57057621768696E10	9.0	1.0	0.542324290825362	1.0	2.19722457733622	24.5454902139195
"CHL"	"Chile"	2008.0	1.43	0.0	9.0	1.68014759403805E11	9.0	1.0	0.357674444271816	1.0	2.19722457733622	25.8473176660848
"CHN"	"China"	2008.0	2.03	0.0	1.0	4.10600586008548E12	10.0	1.0	0.708035793053696	1.0	2.30258509299405	29.0434718617248
"COL"	"Colombia"	2008.0	2.61	0.0	8.0	2.09435564787444E11	9.0	2.0	0.959350221334602	1.0	2.19722457733622	26.0676819623532
"CZE"	"Czech Republic"	2008.0	1.44	0.0	7.0	1.90041023673736E11	10.0	3.0	0.364643113587909	1.0	2.30258509299405	25.9705057998731
"ECU"	"Ecuador"	2008.0	2.17	0.0	9.0	5.60659324657801E10	9.0	2.0	0.774727167552368	1.0	2.19722457733622	24.7497942005907
"EST"	"Estonia"	2008.0	1.58	0.0	6.0	2.01495339581466E10	10.0	3.0	0.457424847038875	1.0	2.30258509299405	23.7264469964437
"GHA"	"Ghana"	2008.0	1.77	0.0	4.0	2.6965436864424E10	8.0	2.0	0.570979546585738	1.0	2.07944154167984	24.0178217667697
"HTI"	"Haiti"	2008.0	2.35	0.0	9.0	5.96830366200601E9	9.0	1.0	0.854415328156068	1.0	2.19722457733622	22.5097285802569
"HUN"	"Hungary"	2008.0	1.45	0.0	7.0	1.32624401057828E11	10.0	1.0	0.371563556432483	1.0	2.30258509299405	25.6107869178125
"IND"	"India"	2008.0	2.49	0.0	8.0	1.19162349634141E12	9.0	2.0	0.912282710476616	1.0	2.19722457733622	27.8063377759038
"IRQ"	"Iraq"	2008.0	3.37	1.0	10.0	1.03074220267535E11	4.0	2.0	1.21491274436427	0.0	1.38629436111989	25.3587151508009
"JOR"	"Jordan"	2008.0	1.83	1.0	11.0	2.01894205461401E10	5.0	2.0	0.60431596685333	0.0	1.6094379124341	23.7284245688167
"KAZ"	"Kazakhstan"	2008.0	2.03	0.0	6.0	9.63839555109997E10	9.0	2.0	0.708035793053696	1.0	2.19722457733622	25.2916055881029
"KWT"	"Kuwait"	2008.0	1.67	1.0	12.0	1.37351808666176E11	4.0	4.0	0.512823626428664	0.0	1.38629436111989	25.6458114177022
"LBN"	"Lebanon"	2008.0	2.67	0.0	6.0	2.89698084085428E10	7.0	2.0	0.982078472412158	1.0	1.94591014905531	24.0895200352623
"LBY"	"Libya"	2008.0	1.87	1.0	11.0	7.39337449809914E10	7.0	2.0	0.625938430866495	0.0	1.94591014905531	25.0264351910013
"LTU"	"Lithuania"	2008.0	1.67	0.0	7.0	4.04827377670418E10	10.0	2.0	0.512823626428664	1.0	2.30258509299405	24.4241414922237
"MYS"	"Malaysia"	2008.0	1.52	1.0	12.0	2.0463670518824E11	7.0	2.0	0.418710334858185	0.0	1.94591014905531	26.0445020741207
"MEX"	"Mexico"	2008.0	2.06	0.0	3.0	1.09704793369797E12	10.0	2.0	0.72270598280149	1.0	2.30258509299405	27.723643991525
"MAR"	"Morocco"	2008.0	1.82	1.0	11.0	8.6275667827529E10	4.0	2.0	0.598836501088704	0.0	1.38629436111989	25.1808134465847
"NGA"	"Nigeria"	2008.0	2.57	0.0	6.0	1.74966112689837E11	6.0	2.0	0.943905898907128	1.0	1.79175946922805	25.8878581503466
"PAK"	"Pakistan"	2008.0	2.89	1.0	12.0	1.65668653830097E11	3.0	2.0	1.06125650212434	0.0	1.09861228866811	25.8332555692533
"PER"	"Peru"	2008.0	2.06	0.0	9.0	1.08209359958995E11	9.0	2.0	0.72270598280149	1.0	2.19722457733622	25.4073337057079
"PHL"	"Philippines"	2008.0	2.37	0.0	6.0	1.87297617676314E11	8.0	2.0	0.86288995514704	1.0	2.07944154167984	25.955964727022
"POL"	"Poland"	2008.0	1.61	0.0	8.0	4.56354795782052E11	9.0	2.0	0.476234178996372	1.0	2.19722457733622	26.8465364048539
"QAT"	"Qatar"	2008.0	1.56	1.0	12.0	9.42155267560756E10		4.0	0.444685821261446	0.0		25.2688508325053
"ROU"	"Romania"	2008.0	1.54	0.0	8.0	1.79821620980797E11	9.0	2.0	0.431782416425538	1.0	2.19722457733622	25.9152312019257
"RWA"	"Rwanda"	2008.0	1.87	0.0	3.0	4.38367848967807E9	10.0	1.0	0.625938430866495	1.0	2.30258509299405	22.2011540466944
"SGP"	"Singapore"	2008.0	1.46	0.0	4.0	1.77501676359145E11	10.0	3.0	0.378436435720245	1.0	2.30258509299405	25.9022458900942
"SVN"	"Slovenia"	2008.0	1.37	0.0	6.0	4.99415212282337E10	9.0	3.0	0.314810739840034	1.0	2.19722457733622	24.6341185824521
"ZAF"	"South Africa"	2008.0	2.12	0.0	4.0	2.97832250136686E11	10.0	2.0	0.751416088683921	1.0	2.30258509299405	26.419796245949
"THA"	"Thailand"	2008.0	2.32	0.0	8.0	2.63926249459997E11	7.0	2.0	0.841567185678219	1.0	1.94591014905531	26.2989355429589
"TUN"	"Tunisia"	2008.0	1.66	1.0	11.0	4.01212201640487E10	9.0	2.0	0.506817602368452	0.0	2.19722457733622	24.4151712124403
"TUR"	"Turkey"	2008.0	2.43	0.0	3.0	6.88367371841803E11	8.0	2.0	0.887891257352457	1.0	2.07944154167984	27.2575885030684
"ARE"	"United Arab Emirates"	2008.0	1.56	1.0	11.0	2.82949571000644E11	6.0	4.0	0.444685821261446	0.0	1.79175946922805	26.3685345243671
